Position Monitor v7.0 starting...
Exit Plan: TP1 +50% (sell 0%) | TP2 +100% | TP3 +200% | Trailing 40% | Stop -30%
Peak cache: /root/Dex-trading-bot/position_peak_cache.json
Checking every 5s
[STARTUP] Alert sent
[13:12:40] Monitor alive | 13 checks | 0 open | next in 5s
[13:13:40] Monitor alive | 25 checks | 0 open | next in 5s
[13:14:40] Monitor alive | 37 checks | 0 open | next in 5s
[13:15:40] Monitor alive | 49 checks | 0 open | next in 5s
[13:16:40] Monitor alive | 61 checks | 0 open | next in 5s
[13:17:40] Monitor alive | 73 checks | 0 open | next in 5s
[13:18:40] Monitor alive | 85 checks | 0 open | next in 5s
[13:19:40] Monitor alive | 97 checks | 0 open | next in 5s
[13:20:40] Monitor alive | 109 checks | 0 open | next in 5s
[13:21:41] Monitor alive | 121 checks | 0 open | next in 5s
[13:22:41] Monitor alive | 133 checks | 0 open | next in 5s
[13:23:41] Monitor alive | 145 checks | 0 open | next in 5s
[13:24:41] Monitor alive | 157 checks | 0 open | next in 5s
[13:25:41] Monitor alive | 169 checks | 0 open | next in 5s
[13:26:41] Monitor alive | 181 checks | 0 open | next in 5s
[13:27:41] Monitor alive | 193 checks | 0 open | next in 5s
[13:28:41] Monitor alive | 205 checks | 0 open | next in 5s
[13:29:41] Monitor alive | 217 checks | 0 open | next in 5s
[13:30:41] Monitor alive | 229 checks | 0 open | next in 5s
[13:31:41] Monitor alive | 241 checks | 0 open | next in 5s
[13:32:41] Monitor alive | 253 checks | 0 open | next in 5s
[13:33:41] Monitor alive | 265 checks | 0 open | next in 5s
[13:34:41] Monitor alive | 277 checks | 0 open | next in 5s
